FilePath,MethodCount,CrappyMethodCount,MaxCrap,AvgCrap,TotalCrapLoad,AvgCoverage,MaxComplexity,WorstMethod,IsProduction
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/Extensions/DateTimeTestExtensions.cs,4,1,420,106.5,405,0,20,ClearMeasure.Bootcamp.AcceptanceTests.Extensions.DateTimeTestExtensions.ToTestDateTime(this string?),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/Generated/Protos/Workorders.cs,108,14,272,15.46,1122,0,16,ClearMeasure.Bootcamp.UI.Server.Grpc.WorkOrder.InternalMergeFrom(ref pb::ParseContext),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/ServerFixture.cs,10,5,272,54.2,435,0,16,ClearMeasure.Bootcamp.AcceptanceTests.ServerFixture.VerifyApplicationHealthy(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Api/Controllers/WorkOrdersBulkImportController.cs,1,1,240,240,225,0,15,"ClearMeasure.Bootcamp.UI.Api.Controllers.WorkOrdersBulkImportController.Post(IFormFile, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/McpServer/Tools/WorkOrderTools.cs,8,1,210,31.25,195,0,14,"ClearMeasure.Bootcamp.McpServer.Tools.WorkOrderTools.ExecuteWorkOrderCommand(IBus, string, string, string, string?)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/Program.cs,2,1,182,92,167,0,13,Program.<Main>$(string[]),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/Core/Import/WorkOrderBulkImportCsvParser.cs,7,4,156,43.43,218,0,12,"ClearMeasure.Bootcamp.Core.Import.WorkOrderBulkImportCsvParser.Parse(TextReader, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/Middleware/IdempotencyMiddleware.cs,8,2,156,26.5,146,0,12,ClearMeasure.Bootcamp.UI.Server.Middleware.IdempotencyMiddleware.InvokeAsync(HttpContext),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/ApiKeyAuthenticationMiddleware.cs,5,3,110,40.8,151,0,10,ClearMeasure.Bootcamp.UI.Server.ApiKeyAuthenticationMiddleware.IsPublicVersionOrTimePath(string),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/Middleware/WebServiceMessageValidationMiddleware.cs,5,1,90,20.4,75,0,9,"ClearMeasure.Bootcamp.UI.Server.Middleware.WebServiceMessageValidationMiddleware.InvokeAsync(HttpContext, IValidator<WebServiceMessage>, IServiceProvider)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/ProcessCleanupHelper.cs,7,5,72,29.71,109,0,8,ClearMeasure.Bootcamp.AcceptanceTests.ProcessCleanupHelper.KillProcessOnPortWindows(int),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/AcceptanceTestBase.cs,26,5,56,8.85,93,0,7,ClearMeasure.Bootcamp.AcceptanceTests.AcceptanceTestBase.Click(string),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UnitTests/ObjectMother.cs,4,1,56,15.5,41,0.5,7,"ClearMeasure.Bootcamp.UnitTests.ObjectMother.AssertAllProperties(object, object)",False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI.Shared/Pages/WorkOrderManage.razor.cs,19,5,42,10.21,57,0,6,ClearMeasure.Bootcamp.UI.Shared.Pages.WorkOrderManage.SpeakTextAsync(string?),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/WorkOrderReformatAgent.cs,2,2,42,36,42,0,6,"ClearMeasure.Bootcamp.UI.Server.WorkOrderReformatAgent.ParseResponse(string, WorkOrder)",True
